video,file,noise,chroma_std,glare_area,line_ratio,hf_energy,prewitt_energy,orientation_entropy,perpendicular_ratio,hf_energy_pstd,score
0,0_f0.png,0.43873266419271745,17.617342653934436,9.5367431640625e-07,0.6249332392322514,0.6188767421858724,1868.4700967441395,0.855521399414711,0.23573914460475381,0.12303306377864814,0.8125252210449817
0,0_f1.png,0.4918868369686847,16.631985836480098,0.0,0.30866868280311205,0.6178938183141097,1555.9361513653776,0.8847649414986541,0.19275284306247192,0.12182610976127227,0.8552614295826675
0,0_f2.png,0.4669365640519132,14.285941599072963,0.0,0.30866868280311205,0.588525865719228,1008.1306300497571,0.8808366817153129,0.1938186755487748,0.1297967602933218,0.6087248552070402
0,0_f3.png,0.47253346635756704,13.383054360530899,9.5367431640625e-07,0.18920630668468164,0.5739667185314493,879.8862259805248,0.9269731476815884,0.14243854213887455,0.13556301076500246,0.008261163720697103
0,0_f4.png,0.4919908314373097,12.520329956526115,0.0,0.044921875,0.5360706586145576,109.93501860669339,0.9831298660263552,0.09297487385302322,0.11294316304900975,0.008234848525227934
0,0_f5.png,0.4955232435513941,11.86134756631379,0.0,0.04008667139018318,0.5580861051277364,138.7226213744913,0.9777849627404049,0.09688883117932934,0.11555067366059288,0.0002691781848528344
1,1_f0.png,0.506273871734869,15.283055931207166,0.00042438507080078125,0.16103660717016163,0.7528425772940295,2429.7332022993924,0.9422223591532412,0.19197393051614484,0.09772340390617498,0.00025620880325448323
1,1_f1.png,0.35552388999475454,18.924191404424956,0.004513740539550781,0.2423774220668732,0.65778012112722,1087.4792610122531,0.9299695245947909,0.1972151118191117,0.10147024844030249,5.6366926752018655e-05
1,1_f2.png,0.5253052594719746,15.865305075537728,0.005927085876464844,0.4944223196577812,0.6745890845852031,1029.0007991120112,0.9426841818126146,0.16674268429110398,0.1006979636835235,0.0015858094777200693
1,1_f3.png,0.38297622982877166,14.844427319007805,0.00897216796875,0.31488348849713443,0.6314542976723716,569.70121313295,0.938440121121516,0.18407240824848253,0.09207473463751344,2.885334189859655e-05
